Label,Body,flag,tfidfscore
ham,Ffffffffff. Alright no way I can meet up with you sooner?,0,2.1803208258144293
ham,Just forced myself to eat a slice. I'm really not hungry tho. This sucks. Mark is getting worried. He knows I'm sick when I turn down pizza. Lol,0,3.9296725128873167
ham,Lol your always so convincing.,0,1.377416094843826
ham,Did you catch the bus ? Are you frying an egg ? Did you make a tea? Are you eating your mom's left over dinner ? Do you feel my Love ?,0,3.5324286393104245
ham,"I'm back &amp; we're packing the car now, I'll let you know if there's room",0,2.556116011237788
ham,Ahhh. Work. I vaguely remember that! What does it feel like? Lol,0,2.7370863783359027
ham,"Wait that's still not all that clear, were you not sure about me being sarcastic or that that's why x doesn't want to live with us",0,2.5817373653272506
ham,Yeah he got in at 2 and was v apologetic. n had fallen out and she was actin like spoilt child and he got caught up in that. Till 2! But we won't go there! Not doing too badly cheers. You? ,0,3.6453545442397752
ham,K tell me anything about you.,0,1.0
ham,For fear of fainting with the of all that housework you just did? Quick have a cuppa,0,2.5527609843708534
spam,Thanks for your subscription to Ringtone UK your mobile will be charged �5/month Please confirm by replying YES or NO. If you reply NO you will not be charged,1,3.093121165023415
ham,Yup... Ok i go home look at the timings then i msg �_ again... Xuhui going to learn on 2nd may too but her lesson is at 8am,0,3.3574559122122682
ham,"Oops, I'll let you know when my roommate's done",0,2.1564529616356287
ham,I see the letter B on my car,0,1.397928617350774
ham,Anything lor... U decide...,0,1.3799853920956866
ham,Hello! How's you and how did saturday go? I was just texting to see if you'd decided to do anything tomo. Not that i'm trying to invite myself or anything!,0,2.936751880005774
ham,Pls go ahead with watts. I just wanted to be sure. Do have a great weekend. Abiola,0,2.914453057606054
ham,"Did I forget to tell you ? I want you , I need you, I crave you ... But most of all ... I love you my sweet Arabian steed ... Mmmmmm ... Yummy",0,3.3396465095630496
spam,07732584351 - Rodger Burns - MSG = We tried to call you re your reply to our sms for a free nokia mobile + free camcorder. Please call now 08000930705 for delivery tomorrow,1,3.647798631542079
ham,WHO ARE YOU SEEING?,0,1.0
ham,Great! I hope you like your man well endowed. I am  &lt;#&gt;  inches...,0,2.70260004144026
ham,No calls..messages..missed calls,0,1.6392970855423246
ham,Didn't you get hep b immunisation in nigeria.,0,1.9720357286751096
ham,"Fair enough, anything going on?",0,1.3570124137207524
ham,"Yeah hopefully, if tyler can't do it I could maybe ask around a bit",0,2.414345792321686
ham,U don't know how stubborn I am. I didn't even want to go to the hospital. I kept telling Mark I'm not a weak sucker. Hospitals are for weak suckers.,0,3.365954615257746
ham,What you thinked about me. First time you saw me in class.,0,1.9345153405859696
ham,"A gram usually runs like  &lt;#&gt; , a half eighth is smarter though and gets you almost a whole second gram for  &lt;#&gt;",0,3.1091836726494284
ham,K fyi x has a ride early tomorrow morning but he's crashing at our place tonight,0,2.7700040283429157
ham,"Wow. I never realized that you were so embarassed by your accomodations. I thought you liked it, since i was doing the best i could and you always seemed so happy about \the cave\"". I'm sorry I didn't and don't have more to give. I'm sorry i offered. I'm sorry your room was so embarassing.""",0,3.831777354350527
spam,SMS. ac Sptv: The New Jersey Devils and the Detroit Red Wings play Ice Hockey. Correct or Incorrect? End? Reply END SPTV,1,3.750574726810165
ham,Do you know what Mallika Sherawat did yesterday? Find out now @  &lt;URL&gt;,0,2.6874207032852877
spam,"Congrats! 1 year special cinema pass for 2 is yours. call 09061209465 now! C Suprman V, Matrix3, StarWars3, etc all 4 FREE! bx420-ip4-5we. 150pm. Dont miss out! ",1,3.9317354107238334
ham,"Sorry, I'll call later in meeting.",0,1.98235193240381
ham,Tell where you reached,0,1.3840568953726473
ham,Yes..gauti and sehwag out of odi series.,0,2.197260833125894
ham,Your gonna have to pick up a $1 burger for yourself on your way home. I can't even move. Pain is killing me.,0,2.5714716624931158
ham,Ha ha ha good joke. Girls are situation seekers.,0,2.0979948376090762
ham,Its a part of checking IQ,0,1.411859838549407
ham,"Sorry my roommates took forever, it ok if I come by now?",0,2.3587222383023234
ham,Ok lar i double check wif da hair dresser already he said wun cut v short. He said will cut until i look nice.,0,3.5320766272254405
spam,"As a valued customer, I am pleased to advise you that following recent review of your Mob No. you are awarded with a �1500 Bonus Prize, call 09066364589",1,3.565252417676268
ham,"Today is \song dedicated day..\"" Which song will u dedicate for me? Send this to all ur valuable frnds but first rply me...""",0,2.907721020066592
spam,"Urgent UR awarded a complimentary trip to EuroDisinc Trav, Aco&Entry41 Or �1000. To claim txt DIS to 87121 18+6*�1.50(moreFrmMob. ShrAcomOrSglSuplt)10, LS1 3AJ",1,4.470736286578653
spam,"Did you hear about the new \Divorce Barbie\""? It comes with all of Ken's stuff!""",1,2.7498278301850196
ham,I plane to give on this month end.,0,1.7115503728518608
ham,Wah lucky man... Then can save money... Hee...,0,2.4307436722966975
ham,Finished class where are you.,0,1.4115662270313138
ham,HI BABE IM AT HOME NOW WANNA DO SOMETHING? XX,0,2.427574073323452
ham,K..k:)where are you?how did you performed?,0,1.355843124808458
ham,U can call me now...,0,0.0
ham,I am waiting machan. Call me once you free.,0,1.6744133397641137
ham,Thats cool. i am a gentleman and will treat you with dignity and respect.,0,2.4247393384368703
ham,I like you peoples very much:) but am very shy pa.,0,1.9315816694315737
ham,Does not operate after  &lt;#&gt;  or what,0,1.8952039857195122
ham,Its not the same here. Still looking for a job. How much do Ta's earn there.,0,1.9773051812293914
ham,"Sorry, I'll call later",0,1.7285118356719615
ham,K. Did you call me just now ah? ,0,1.701242690939896
ham,Ok i am on the way to home hi hi,0,1.8632670829562932
ham,You will be in the place of that man,0,1.4138365082588695
ham,Yup next stop.,0,1.4059667426452942
ham,"I call you later, don't have network. If urgnt, sms me.",0,2.192093518124246
ham,For real when u getting on yo? I only need 2 more tickets and one more jacket and I'm done. I already used all my multis.,0,2.7708376354966373
ham,Yes I started to send requests to make it but pain came back so I'm back in bed. Double coins at the factory too. I gotta cash in all my nitros.,0,3.661947092973931
ham,I'm really not up to it still tonight babe,0,1.731311049076214
ham,"Ela kano.,il download, come wen ur free..",0,2.728359147447926
ham,Yeah do! Don���t stand to close tho- you���ll catch something!,0,2.5887223935374344
ham,Sorry to be a pain. Is it ok if we meet another night? I spent late afternoon in casualty and that means i haven't done any of y stuff42moro and that includes all my time sheets and that. Sorry. ,0,3.7525124404421035
ham,Smile in Pleasure Smile in Pain Smile when trouble pours like Rain Smile when sum1 Hurts U Smile becoz SOMEONE still Loves to see u Smiling!!,0,2.8243418424660014
spam,Please call our customer service representative on 0800 169 6031 between 10am-9pm as you have WON a guaranteed �1000 cash or �5000 prize!,1,3.678730353103229
ham,Havent planning to buy later. I check already lido only got 530 show in e afternoon. U finish work already?,0,3.2523789596435715
spam,"Your free ringtone is waiting to be collected. Simply text the password \MIX\"" to 85069 to verify. Get Usher and Britney. FML",1,3.5300826933666793
ham,Watching telugu movie..wat abt u?,0,2.202327282636479
ham,i see. When we finish we have loads of loans to pay,0,1.979561701211877
ham,"Hi. Wk been ok - on hols now! Yes on for a bit of a run. Forgot that i have hairdressers appointment at four so need to get home n shower beforehand. Does that cause prob for u?\""
ham""",0,4.026899079657021
ham,Please don't text me anymore. I have nothing else to say.,0,1.9536095742462358
ham,Okay name ur price as long as its legal! Wen can I pick them up? Y u ave x ams xx,0,3.0981163986208324
ham,I'm still looking for a car to buy. And have not gone 4the driving test yet.,0,2.6145558259143176
ham,As per your request 'Melle Melle (Oru Minnaminunginte Nurungu Vettam)' has been set as your callertune for all Callers. Press *9 to copy your friends Callertune,0,3.2475956495529323
ham,"wow. You're right! I didn't mean to do that. I guess once i gave up on boston men and changed my search location to nyc, something changed. Cuz on my signin page it still says boston.",0,3.7406311170258792
ham,Umma my life and vava umma love you lot dear,0,2.191156794694974
ham,Thanks a lot for your wishes on my birthday. Thanks you for making my birthday truly memorable.,0,2.5648754566258267
ham,"Aight, I'll hit you up when I get some cash",0,1.9664734542870592
ham,How would my ip address test that considering my computer isn't a minecraft server,0,2.8036040611520026
ham,I know! Grumpy old people. My mom was like you better not be lying. Then again I am always the one to play jokes...,0,3.0675216022549563
ham,Dont worry. I guess he's busy.,0,1.9851844130295782
ham,What is the plural of the noun research?,0,1.7303650398868102
ham,Going for dinner.msg you after.,0,1.719090704222272
ham,I'm ok wif it cos i like 2 try new things. But i scared u dun like mah. Cos u said not too loud.,0,3.3441686656421004
spam,GENT! We are trying to contact you. Last weekends draw shows that you won a �1000 prize GUARANTEED. Call 09064012160. Claim Code K52. Valid 12hrs only. 150ppm,1,4.059245856690993
ham,"Wa, ur openin sentence very formal... Anyway, i'm fine too, juz tt i'm eatin too much n puttin on weight...Haha... So anythin special happened?",0,3.8003215114495905
ham,"As I entered my cabin my PA said, '' Happy B'day Boss !!''. I felt special. She askd me 4 lunch. After lunch she invited me to her apartment. We went there.",0,3.6248767835790034
spam,You are a winner U have been specially selected 2 receive �1000 or a 4* holiday (flights inc) speak to a live operator 2 claim 0871277810910p/min (18+) ,1,3.697051409615932
ham,Goodo! Yes we must speak friday - egg-potato ratio for tortilla needed! ,0,2.9595848265004783
ham,Hmm...my uncle just informed me that he's paying the school directly. So pls buy food.,0,3.1048346975336836
spam,PRIVATE! Your 2004 Account Statement for 07742676969 shows 786 unredeemed Bonus Points. To claim call 08719180248 Identifier Code: 45239 Expires,1,3.959674029469488
spam,"URGENT! Your Mobile No. was awarded �2000 Bonus Caller Prize on 5/9/03 This is our final try to contact U! Call from Landline 09064019788 BOX42WR29C, 150PPM",1,3.809243968261405
ham,here is my new address -apples&pairs&all that malarky,0,2.1808877462900575
spam,Todays Voda numbers ending 7548 are selected to receive a $350 award. If you have a match please call 08712300220 quoting claim code 4041 standard rates app,1,4.204524247531394
ham,I am going to sao mu today. Will be done only at 12 ,0,2.1626065652536974
ham,�� predict wat time �_'ll finish buying?,0,2.350019247905911
ham,"Good stuff, will do.",0,1.395134545165257
ham,"Just so that you know,yetunde hasn't sent money yet. I just sent her a text not to bother sending. So its over, you dont have to involve yourself in anything. I shouldn't have imposed anything on you in the first place so for that, i apologise.",0,3.7511606348856446
ham,Are you there in room.,0,1.0
ham,HEY GIRL. HOW R U? HOPE U R WELL ME AN DEL R BAK! AGAIN LONG TIME NO C! GIVE ME A CALL SUM TIME FROM LUCYxx,0,2.9354587512251635
ham,K..k:)how much does it cost?,0,1.4138533598956715
ham,I'm home.,0,1.0
ham,"Dear, will call Tmorrow.pls accomodate.",0,1.9206142305754923
ham,First answer my question.,0,1.4142053241405317
spam,Sunshine Quiz Wkly Q! Win a top Sony DVD player if u know which country the Algarve is in? Txt ansr to 82277. �1.50 SP:Tyrone,1,3.9362943728053477
spam,Want 2 get laid tonight? Want real Dogging locations sent direct 2 ur mob? Join the UK's largest Dogging Network bt Txting GRAVEL to 69888! Nt. ec2a. 31p.msg@150p,1,4.594873100714796
ham,I only haf msn. It's yijue@hotmail.com,0,2.201308539322529
ham,He is there. You call and meet him,0,1.0
ham,No no. I will check all rooms befor activities,0,1.98627608181762
spam,You'll not rcv any more msgs from the chat svc. For FREE Hardcore services text GO to: 69988 If u get nothing u must Age Verify with yr network & try again,1,3.766549013956807
ham,Got c... I lazy to type... I forgot �_ in lect... I saw a pouch but like not v nice...,0,2.92986810139045
ham,"K, text me when you're on the way",0,1.4115867669978044
ham,"Sir, Waiting for your mail.",0,1.7302136463483433
ham,"A swt thought: \Nver get tired of doing little things 4 lovable persons..\"" Coz..somtimes those little things occupy d biggest part in their Hearts.. Gud ni8""",0,3.8882942990984355
ham,I know you are. Can you pls open the back?,0,1.6955747654584221
ham,Yes see ya not on the dot,0,1.690939576990057
ham,Whats the staff name who is taking class for us?,0,1.9846490441295586
spam,"FreeMsg Why haven't you replied to my text? I'm Randy, sexy, female and live local. Luv to hear from u. Netcollex Ltd 08700621170150p per msg reply Stop to end",1,4.040094731680458
ham,Ummma.will call after check in.our life will begin from qatar so pls pray very hard.,0,2.781276564782572
ham,K..i deleted my contact that why?,0,1.3878646889844957
ham,Sindu got job in birla soft ..,0,2.1682282901595538
ham,The wine is flowing and i'm i have nevering..,0,1.7245189889268646
ham,Yup i thk cine is better cos no need 2 go down 2 plaza mah.,0,2.775985175150356
ham,Ok... Ur typical reply...,0,1.8663936227712365
ham,As per your request 'Melle Melle (Oru Minnaminunginte Nurungu Vettam)' has been set as your callertune for all Callers. Press *9 to copy your friends Callertune,0,3.2475956495529323
ham,"You are everywhere dirt, on the floor, the windows, even on my shirt. And sometimes when i open my mouth, you are all that comes flowing out. I dream of my world without you, then half my chores are out too. A time of joy for me, lots of tv shows i.ll see. But i guess like all things you just must exist, like rain, hail and mist, and when my time here is done, you and i become one.",0,4.99688817320654
ham,Aaooooright are you at work?,0,1.3623467338261397
ham,I'm leaving my house now...,0,1.4120329451984759
ham,"Hello, my love. What are you doing? Did you get to that interview today? Are you you happy? Are you being a good boy? Do you think of me?Are you missing me ?",0,3.2492887622534017
spam,Customer service annoncement. You have a New Years delivery waiting for you. Please call 07046744435 now to arrange delivery,1,2.8451311227453493
spam,You are a winner U have been specially selected 2 receive �1000 cash or a 4* holiday (flights inc) speak to a live operator 2 claim 0871277810810,1,3.565671620560166
ham,Keep yourself safe for me because I need you and I miss you already and I envy everyone that see's you in real life,0,2.3855167310949943
ham,New car and house for my parents.:)i have only new job in hand:),0,2.40813901167552
ham,I'm so in love with you. I'm excited each day i spend with you. You make me so happy.,0,2.353725250374256
spam,-PLS STOP bootydelious (32/F) is inviting you to be her friend. Reply YES-434 or NO-434 See her: www.SMS.ac/u/bootydelious STOP? Send STOP FRND to 62468,1,3.438119333248049
spam,"BangBabes Ur order is on the way. U SHOULD receive a Service Msg 2 download UR content. If U do not, GoTo wap. bangb. tv on UR mobile internet/service menu",1,3.870083784696561
ham,I place all ur points on e cultures module already.,0,2.1529650309915183
spam,URGENT! We are trying to contact you. Last weekends draw shows that you have won a �900 prize GUARANTEED. Call 09061701939. Claim code S89. Valid 12hrs only,1,3.928663438584428
ham,"Hi frnd, which is best way to avoid missunderstding wit our beloved one's?",0,2.7631203707492866
ham,Great escape. I fancy the bridge but needs her lager. See you tomo ,0,2.6043264772982777
ham,Yes :)it completely in out of form:)clark also utter waste.,0,2.416307691950965
ham,"Sir, I need AXIS BANK account no and bank address.",0,2.2650796971442375
ham,"Hmmm.. Thk sure got time to hop ard... Ya, can go 4 free abt... Muz call u to discuss liao... ",0,3.532747651020231
ham,What time you coming down later? ,0,1.7197259841414603
ham,"Bloody hell, cant believe you forgot my surname Mr . Ill give u a clue, its spanish and begins with m... ",0,3.1289769680724633
ham,"Well, i'm gonna finish my bath now. Have a good...fine night.",0,2.41625542010682
ham,Let me know when you've got the money so carlos can make the call,0,2.6126367435852993
ham,U still going to the mall?,0,1.3570124137207524
ham,"Turns out my friends are staying for the whole show and won't be back til ~ &lt;#&gt; , so feel free to go ahead and smoke that $ &lt;#&gt;  worth",0,3.405207797949307
ham,Text her. If she doesnt reply let me know so i can have her log in,0,2.390257819256154
ham,Hi! You just spoke to MANEESHA V. We'd like to know if you were satisfied with the experience. Reply Toll Free with Yes or No.,0,3.3111614156497504
ham,You lifted my hopes with the offer of money. I am in need. Especially when the end of the month approaches and it hurts my studying. Anyways have a gr8 weekend,0,3.676829453645309
ham,Lol no. U can trust me.,0,1.3965521665099616
ham,ok. I am a gentleman and will treat you with dignity and respect.,0,2.179966923817013
ham,"He will, you guys close?",0,1.4122684320044647
ham,Going on nothing great.bye,0,1.677697913230463
ham,Hello handsome ! Are you finding that job ? Not being lazy ? Working towards getting back that net for mummy ? Where's my boytoy now ? Does he miss me ?,0,3.4108995464640035
ham,"Haha awesome, be there in a minute",0,1.7280242353533166
spam,Please call our customer service representative on FREEPHONE 0808 145 4742 between 9am-11pm as you have WON a guaranteed �1000 cash or �5000 prize!,1,3.814002776053385
ham,Have you got Xmas radio times. If not i will get it now,0,1.9544792466530423
ham,I jus reached home. I go bathe first. But my sis using net tell u when she finishes k...,0,2.9536576366649063
spam,Are you unique enough? Find out from 30th August. www.areyouunique.co.uk,1,2.393179162990836
ham,I'm sorry. I've joined the league of people that dont keep in touch. You mean a great deal to me. You have been a friend at all times even at great personal cost. Do have a great week.|,0,3.646304179468555
ham,Hi :)finally i completed the course:),0,1.963802945679507
ham,It will stop on itself. I however suggest she stays with someone that will be able to give ors for every stool.,0,2.3987511777187764
ham,How are you doing? Hope you've settled in for the new school year. Just wishin you a gr8 day,0,3.2167360686278026
ham,Gud mrng dear hav a nice day,0,2.419018280530846
ham,Did u got that persons story,0,1.9488185718041027
ham,is your hamster dead? Hey so tmr i meet you at 1pm orchard mrt? ,0,2.7776632182917433
ham,Hi its Kate how is your evening? I hope i can see you tomorrow for a bit but i have to bloody babyjontet! Txt back if u can. :) xxx,0,3.0849297179624853
ham,"Found it, ENC  &lt;#&gt; , where you at?",0,1.611058087365945
ham,I sent you  &lt;#&gt;  bucks,0,1.9342228036233096
ham,Hello darlin ive finished college now so txt me when u finish if u can love Kate xxx,0,3.1235843721750634
ham,Your account has been refilled successfully by INR  &lt;DECIMAL&gt; . Your KeralaCircle prepaid account balance is Rs  &lt;DECIMAL&gt; . Your Transaction ID is KR &lt;#&gt; .,0,3.6438574979549445
ham,Goodmorning sleeping ga.,0,1.715113748170435
ham,U call me alter at 11 ok.,0,1.6551984137833409
ham,�� say until like dat i dun buy ericsson oso cannot oredi lar...,0,2.947695919447198
ham,"As I entered my cabin my PA said, '' Happy B'day Boss !!''. I felt special. She askd me 4 lunch. After lunch she invited me to her apartment. We went there.",0,3.6248767835790034
ham,"Aight yo, dats straight dogg",0,2.2051552698676016
ham,You please give us connection today itself before  &lt;DECIMAL&gt;  or refund the bill,0,2.3375979970727343
ham,Both :) i shoot big loads so get ready!,0,1.9835995062314182
ham,"What's up bruv, hope you had a great break. Do have a rewarding semester.",0,2.3938372713175524
ham,Home so we can always chat,0,1.4051203732322004
ham,K:)k:)good:)study well.,0,1.366237955396092
ham,Yup... How �_ noe leh...,0,1.7300090247008182
ham,Sounds great! Are you home now?,0,1.7051650024446439
ham,Finally the match heading towards draw as your prediction.,0,2.210473693198403
ham,Tired. I haven't slept well the past few nights.,0,2.23116507481546
ham,Easy ah?sen got selected means its good..,0,2.592380144686993
ham,I have to take exam with march 3,0,1.4140100174362176
ham,Yeah you should. I think you can use your gt atm now to register. Not sure but if there's anyway i can help let me know. But when you do be sure you are ready.,0,3.163402795354335
ham,Ok no prob. Take ur time.,0,1.9395567145120898
ham,There is os called ubandu which will run without installing in hard disk...you can use that os to copy the important files in system and give it to repair shop..,0,3.383869282331793
ham,"Sorry, I'll call later",0,1.7285118356719615
ham,U say leh... Of course nothing happen lar. Not say v romantic jus a bit only lor. I thk e nite scenery not so nice leh.,0,3.4612952599159996
spam,"500 New Mobiles from 2004, MUST GO! Txt: NOKIA to No: 89545 & collect yours today!From ONLY �1 www.4-tc.biz 2optout 087187262701.50gbp/mtmsg18",1,3.91664567263175
ham,Would really appreciate if you call me. Just need someone to talk to.,0,2.1741183830321806
spam,"Will u meet ur dream partner soon? Is ur career off 2 a flyng start? 2 find out free, txt HORO followed by ur star sign, e. g. HORO ARIES",1,3.589756152996409
ham,Hey company elama po mudyadhu.,0,2.182588321471213
ham,"Life is more strict than teacher... Bcoz Teacher teaches lesson &amp; then conducts exam, But Life first conducts Exam &amp; then teaches Lessons. Happy morning. . .",0,3.1876416499974525
ham,Dear good morning now only i am up,0,1.7241849231120454
ham,Get down in gandhipuram and walk to cross cut road. Right side &lt;#&gt; street road and turn at first right.,0,2.96117170747125
ham,Dear we are going to our rubber place,0,1.9189494780788419
ham,"Sorry battery died, yeah I'm here",0,1.9528308578701319
ham,Yes:)here tv is always available in work place..,0,2.220847471486052
spam,Text & meet someone sexy today. U can find a date or even flirt its up to U. Join 4 just 10p. REPLY with NAME & AGE eg Sam 25. 18 -msg recd@thirtyeight pence,1,4.1323457476652345
ham,I have printed it oh. So  &lt;#&gt;  come upstairs,0,2.3156223654389985
ham,Or ill be a little closer like at the bus stop on the same street,0,2.5919873231855215
ham,Where are you?when wil you reach here?,0,1.4130493590781463
ham,"New Theory: Argument wins d SITUATION, but loses the PERSON. So dont argue with ur friends just.. . . . kick them &amp; say, I'm always correct.!",0,3.8872242685717264
spam,U 447801259231 have a secret admirer who is looking 2 make contact with U-find out who they R*reveal who thinks UR so special-call on 09058094597,1,3.2460833105359184
ham,Tomarrow final hearing on my laptop case so i cant.,0,2.221447565845346
ham,PLEASSSSSSSEEEEEE TEL ME V AVENT DONE SPORTSx,0,1.990141812423511
ham,"Okay. No no, just shining on. That was meant to be signing, but that sounds better.",0,2.5786341406939166
ham,"Although i told u dat i'm into baig face watches now but i really like e watch u gave cos it's fr u. Thanx 4 everything dat u've done today, i'm touched...",0,3.7152516747091537
ham,U don't remember that old commercial?,0,1.9555207659335472
ham,Too late. I said i have the website. I didn't i have or dont have the slippers,0,2.397626190433567
ham,I asked you to call him now ok,0,1.3809380450958693
ham,Kallis wont bat in 2nd innings.,0,2.217908034406825
ham,It didnt work again oh. Ok goodnight then. I.ll fix and have it ready by the time you wake up. You are very dearly missed have a good night sleep.,0,3.772005473028863
spam,Congratulations ur awarded 500 of CD vouchers or 125gift guaranteed & Free entry 2 100 wkly draw txt MUSIC to 87066 TnCs www.Ldew.com1win150ppmx3age16,1,4.394363005666629
ham,Ranjith cal drpd Deeraj and deepak 5min hold,0,2.6391482994140607
ham,"Wen ur lovable bcums angry wid u, dnt take it seriously.. Coz being angry is d most childish n true way of showing deep affection, care n luv!.. kettoda manda... Have nice day da.",0,4.510402582123413
ham,What you doing?how are you?,0,1.0
ham,"Ups which is 3days also, and the shipping company that takes 2wks. The other way is usps which takes a week but when it gets to lag you may have to bribe nipost to get your stuff.",0,3.620371673193432
ham,"I'm back, lemme know when you're ready",0,1.6868958931726086
ham,Don't necessarily expect it to be done before you get back though because I'm just now headin out,0,2.1361220919585726
ham,Mmm so yummy babe ... Nice jolt to the suzy,0,2.4073370766064004
ham,Where are you lover ? I need you ...,0,1.3767603293943154
spam,We tried to contact you re your reply to our offer of a Video Handset? 750 anytime networks mins? UNLIMITED TEXT? Camcorder? Reply or call 08000930705 NOW,1,3.685577375918778
ham,I���m parked next to a MINI!!!! When are you coming in today do you think?,0,2.1646021334412695
ham,Yup,0,1.0
ham,Anyway i'm going shopping on my own now. Cos my sis not done yet. Dun disturb u liao.,0,2.6189205878867043
ham,MY NO. IN LUTON 0125698789 RING ME IF UR AROUND! H*,0,1.9192331338694826
spam,Hey I am really horny want to chat or see me naked text hot to 69698 text charged at 150pm to unsubscribe text stop 69698,1,3.246675922218119
ham,Why you Dint come with us.,0,1.3591586047517668
ham,Same. Wana plan a trip sometme then,0,1.978453995742834
ham,"Not sure yet, still trying to get a hold of him",0,1.7224304447052736
spam,Ur ringtone service has changed! 25 Free credits! Go to club4mobiles.com to choose content now! Stop? txt CLUB STOP to 87070. 150p/wk Club4 PO Box1146 MK45 2WT,1,4.5590369113507805
ham,The evo. I just had to download flash. Jealous?,0,2.166650372120105
spam,Ringtone Club: Get the UK singles chart on your mobile each week and choose any top quality ringtone! This message is free of charge.,1,3.298440140078163
ham,"Come to mu, we're sorting out our narcotics situation",0,2.181611385612628
ham,"Night has ended for another day, morning has come in a special way. May you smile like the sunny rays and leaves your worries at the blue blue bay.",0,3.6279772094961076
spam,HMV BONUS SPECIAL 500 pounds of genuine HMV vouchers to be won. Just answer 4 easy questions. Play Now! Send HMV to 86688 More info:www.100percent-real.com,1,3.8729895572552517
ham,"Usf I guess, might as well take 1 car",0,1.7249747461617821
ham,No objection. My bf not coming.,0,1.704761815186686
ham,Thanx...,0,1.0
ham,Tell rob to mack his gf in the theater,0,2.189967401557979
ham,"Awesome, I'll see you in a bit",0,1.7003742412486185
ham,Just sent it. So what type of food do you like?,0,2.1804112226749
ham,All done? All handed in? Celebrations in full swing yet?,0,1.7241785599720088
ham,You got called a tool?,0,1.6668082706313752
ham,\Wen u miss someone,0,1.4077832095834366
ham,Ok. I asked for money how far,0,1.9663256582200985
ham,Okie...,0,1.0
ham,"Yeah I think my usual guy's still passed out from last night, if you get ahold of anybody let me know and I'll throw down",0,3.351040075992868
ham,"K, I might come by tonight then if my class lets out early",0,2.2135836099602257
ham,Ok..,0,1.0
ham,hi baby im cruisin with my girl friend what r u up 2? give me a call in and hour at home if thats alright or fone me on this fone now love jenny xxx,0,3.52261554554164
ham,"My life Means a lot to me, Not because I love my life, But because I love the people in my life, The world calls them friends, I call them my World:-).. Ge:-)..",0,2.7705042308273846
ham,"Dear,shall mail tonite.busy in the street,shall update you tonite.things are looking ok.varunnathu edukkukayee raksha ollu.but a good one in real sense.",0,3.883749350642941
ham,Hey you told your name to gautham ah?,0,1.9609500985020476
ham,Haf u found him? I feel so stupid da v cam was working.,0,2.417271275515817
ham,Oops. 4 got that bit.,0,1.6932396779326884
ham,Are you this much buzy,0,1.0
ham,I accidentally deleted the message. Resend please.,0,1.9636599990132375
spam,T-Mobile customer you may now claim your FREE CAMERA PHONE upgrade & a pay & go sim card for your loyalty. Call on 0845 021 3680.Offer ends 28thFeb.T&C's apply,1,4.14732686424288
